Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,ZavaLoanPortal.csproj,File,ZavaLoanPortal.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ZavaLoanPortal.csproj,File,ZavaLoanPortal.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.designer.cs,0,426,T:System.Web.UI.WebControls.ContentPlaceHolder,,,,,MainContentPlaceHolder
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.designer.cs,0,349,T:System.Web.UI.WebControls.Label,,,,,lblUserStatus
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.designer.cs,0,289,T:System.Web.UI.WebControls.HyperLink,,,,,lnkLogout
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.designer.cs,0,226,T:System.Web.UI.WebControls.HyperLink,,,,,lnkLogin
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.designer.cs,0,164,T:System.Web.UI.WebControls.HyperLink,,,,,lnkHome
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.designer.cs,0,103,T:System.Web.UI.ScriptManager,,,,,smMain
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,368,T:System.Web.UI.WebControls.HyperLink,,,,,lnkLogout.Visible=false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,368,P:System.Web.UI.Control.Visible,,,,,lnkLogout.Visible=false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,333,T:System.Web.UI.WebControls.Label,,,,,"lblUserStatus.Text=""Not signed in"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,333,P:System.Web.UI.WebControls.Label.Text,,,,,"lblUserStatus.Text=""Not signed in"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,304,T:System.Web.UI.WebControls.HyperLink,,,,,lnkLogin.Visible=false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,304,P:System.Web.UI.Control.Visible,,,,,lnkLogin.Visible=false;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,244,T:System.Web.HttpContext,,,,,"lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,244,P:System.Web.UI.Control.Context,,,,,"lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,244,P:System.Web.HttpContext.User,,,,,"lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,244,T:System.Web.UI.WebControls.Label,,,,,"lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,244,P:System.Web.UI.WebControls.Label.Text,,,,,"lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,153,T:System.Web.HttpContext,,,,,"if(Context.User!=null&&Context.User.Identity!=null&&Context.User.Identity.IsAuthenticated){lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;lnkLogin.Visible=false;}else{lblUserStatus.Text=""Not signed in"";lnkLogout.Visible=false;}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,153,P:System.Web.UI.Control.Context,,,,,"if(Context.User!=null&&Context.User.Identity!=null&&Context.User.Identity.IsAuthenticated){lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;lnkLogin.Visible=false;}else{lblUserStatus.Text=""Not signed in"";lnkLogout.Visible=false;}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Site.Master.cs,0,153,P:System.Web.HttpContext.User,,,,,"if(Context.User!=null&&Context.User.Identity!=null&&Context.User.Identity.IsAuthenticated){lblUserStatus.Text=""Signed in: ""+Context.User.Identity.Name;lnkLogin.Visible=false;}else{lblUserStatus.Text=""Not signed in"";lnkLogout.Visible=false;}"
